par_state,par_county,kid_race,par_pctile,shrunk_xkid_vscore2020,county_name
1,57,Pooled,-9,655.1089820359282,Fayette
1,57,Pooled,50,663.2294947209652,Fayette
1,57,Black,25,593.7,Fayette
1,57,White,-9,664.72,Fayette
1,57,Pooled,25,626.5774509803922,Fayette
1,57,Pooled,75,699.8815384615384,Fayette
1,57,White,25,634.4,Fayette
1,57,White,75,710.2,Fayette
1,57,Hispanic,25,607.9,Fayette
1,57,Black,50,610.5,Fayette
1,57,Black,-9,603.5,Fayette
1,57,Hispanic,-9,647.75,Fayette
1,57,Black,75,627.3,Fayette
1,57,Hispanic,75,687.6,Fayette
1,59,Hispanic,50,664.1500000000001,Franklin
1,59,AIAN,50,646.9,Franklin
1,59,Black,25,596.5,Franklin
1,59,Asian,25,717.8,Franklin
1,59,Hispanic,75,679.6,Franklin
1,59,Asian,50,726.95,Franklin
1,59,AIAN,75,692.3,Franklin
1,59,White,-9,656.2598173515981,Franklin
1,59,Pooled,25,631.2762376237624,Franklin
1,59,Black,75,646.1,Franklin
1,59,Asian,-9,726.95,Franklin
1,59,Pooled,-9,657.2633858267717,Franklin
1,59,AIAN,-9,646.9,Franklin
1,59,White,75,697.5,Franklin
1,59,Pooled,75,695.6736585365853,Franklin
1,59,Asian,75,736.1,Franklin
1,59,Black,-9,621.3,Franklin
1,59,Hispanic,-9,664.15,Franklin
1,59,Hispanic,25,648.7,Franklin
1,59,Black,50,621.3,Franklin
1,59,White,50,663.8,Franklin
1,59,AIAN,25,601.5,Franklin
1,59,White,25,630.1,Franklin
1,59,Pooled,50,663.4749480801738,Franklin
1,61,White,75,704.6,Geneva
1,61,AIAN,25,625.8,Geneva
1,61,White,-9,658.2987179487179,Geneva
1,61,Black,-9,603.9454545454546,Geneva
1,61,Black,75,645.1,Geneva
1,61,Hispanic,-9,670.7,Geneva
1,61,Black,25,594.8,Geneva
1,61,Pooled,25,627.1703517587939,Geneva
1,61,Hispanic,75,713.3,Geneva
1,61,Pooled,-9,649.8840136054422,Geneva
1,61,White,50,669.6500000000001,Geneva
1,61,AIAN,-9,635.6,Geneva
1,61,White,25,634.7,Geneva
1,61,Black,50,619.95,Geneva
1,61,Hispanic,50,670.7,Geneva
1,61,Pooled,75,697.4631578947368,Geneva
1,61,Hispanic,25,628.1,Geneva
1,61,AIAN,75,645.4,Geneva
1,61,Pooled,50,662.3167548267654,Geneva
1,61,AIAN,50,635.5999999999999,Geneva
1,63,Hispanic,75,685.9,Greene
1,63,Hispanic,-9,654.1,Greene
1,63,Black,75,634,Greene
1,63,Black,-9,593.6941747572815,Greene
1,63,Pooled,-9,607.3337301587302,Greene
1,63,Pooled,50,633.5550559768869,Greene
1,63,White,-9,676.05,Greene
1,63,White,50,676.05,Greene
1,63,Pooled,75,671.5307692307692,Greene
1,63,Black,50,612.15,Greene
1,63,Black,25,590.3,Greene
1,63,White,75,703.9,Greene
1,63,Hispanic,50,654.0999999999999,Greene
1,63,White,25,648.2,Greene
1,63,Pooled,25,595.5793427230047,Greene
1,63,Hispanic,25,622.3,Greene
1,65,Hispanic,50,621.1500000000001,Hale
1,65,Pooled,-9,625.9218390804598,Hale
1,65,Black,-9,600.3169811320755,Hale
1,65,Pooled,75,675.6090909090909,Hale
1,65,Pooled,25,609.1046153846154,Hale
1,65,White,75,694.8,Hale
1,65,Black,75,633.6,Hale
1,65,White,25,645.5,Hale
1,65,Black,25,597.6,Hale
1,65,Pooled,50,642.3568531468532,Hale
1,65,Hispanic,75,606.1,Hale
1,65,Hispanic,-9,621.15,Hale
1,65,White,-9,671.7933333333333,Hale
1,65,White,50,670.15,Hale
1,65,Hispanic,25,636.2,Hale
1,65,Black,50,615.6,Hale
1,67,White,25,642.5,Henry
1,67,Black,25,587.4,Henry
1,67,White,75,702.6,Henry
1,67,Black,50,611.05,Henry
1,67,Hispanic,-9,661.3,Henry
1,67,Hispanic,75,694.5,Henry
1,67,White,50,672.55,Henry
1,67,Pooled,75,693.6625,Henry
1,67,Pooled,25,613.9553191489362,Henry
1,67,White,-9,671.0959677419355,Henry
1,67,Hispanic,25,628.1,Henry
1,67,Pooled,-9,640.8985915492958,Henry
1,67,Hispanic,50,661.3,Henry
1,67,Black,75,634.7,Henry
1,67,Pooled,50,653.8089095744681,Henry
1,67,Black,-9,592.6555555555556,Henry
1,69,Asian,25,719.4,Houston
1,69,Hispanic,75,683.3,Houston
1,69,Pooled,75,697.2074317968015,Houston
1,69,AIAN,25,639,Houston
1,69,Pooled,25,618.5805323193916,Houston
1,69,Asian,-9,725.55,Houston
1,69,Black,25,585.7,Houston
1,69,Asian,75,731.7,Houston
1,69,Black,50,609.85,Houston
1,69,Asian,50,725.55,Houston
1,69,Pooled,50,657.8939820580965,Houston
1,69,White,-9,675.3082840236686,Houston
